Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,412 S Wilton Pl Unit 401,1,0,970000.0,3.0,3.0,1810.0,1810.0,2008.0,1,1,3,0,2.0,0
Angelino-Heights,126 Palatine Dr,0,1,828000.0,2.0,3.0,1535.0,5227.0,1951.0,1,1,1,1,2.0,1
Angelino-Heights,329 W 74th St,0,1,755000.0,5.0,3.0,1850.0,5227.0,1908.0,0,0,1,0,0.0,0
Angelino-Heights,1422 W 69th St,0,1,567000.0,2.0,1.0,936.0,4356.0,1922.0,1,0,1,0,2.0,0
Angelino-Heights,1155 S Grand Ave Unit 407,1,0,600000.0,1.0,1.0,960.0,960.0,2008.0,1,0,3,1,1.0,0
Angelino-Heights,3825 S Cloverdale Ave,0,1,1250000.0,3.0,3.0,1969.0,7841.0,1964.0,0,1,1,1,2.0,0
Angelino-Heights,444 Piedmont Ave Unit 211,1,0,565000.0,1.0,2.0,960.0,960.0,1975.0,1,1,1,0,1.0,0
Angelino-Heights,5814 Via Corona St,0,1,555000.0,3.0,2.0,1556.0,5663.0,1947.0,1,1,1,0,2.0,0
Angelino-Heights,315 La France Ave,0,1,1240000.0,3.0,2.0,1900.0,9583.0,1923.0,1,0,1,0,3.0,0
Angelino-Heights,7122 La Tijera Blvd Unit J202,1,0,615000.0,1.0,1.0,860.0,860.0,1991.0,0,1,2,0,2.0,0
Angelino-Heights,3751 E 53rd St,0,1,490000.0,2.0,2.0,708.0,3485.0,1939.0,0,0,1,0,1.0,0
Angelino-Heights,6412 Madden Ave,0,1,598500.0,2.0,1.0,908.0,4792.0,1923.0,1,1,1,0,2.0,0
Angelino-Heights,1824 S Marengo Ave Unit 29,1,0,765000.0,3.0,3.0,1839.0,1839.0,1981.0,1,1,2,1,2.0,0
Angelino-Heights,2157 E Chevy Chase Dr,0,1,1350000.0,3.0,4.0,1674.0,6970.0,1952.0,1,1,1,1,2.0,1
Angelino-Heights,7523 S Hobart Blvd,0,1,685000.0,3.0,2.0,1400.0,4792.0,1925.0,0,1,1,0,2.0,0
Angelino-Heights,5675 Fayette St,0,1,790000.0,2.0,1.0,1076.0,2614.0,1928.0,1,1,1,1,2.0,0
Angelino-Heights,862 Chapman Ave,0,1,930000.0,4.0,2.0,1205.0,5227.0,1939.0,1,1,1,0,2.0,0
Angelino-Heights,1111 S Grand Ave Unit 709,1,0,960000.0,2.0,2.0,1620.0,1620.0,2005.0,1,0,1,0,2.0,0
Angelino-Heights,6735 Yucca St Unit 401,1,0,665000.0,2.0,3.0,1280.0,1280.0,2007.0,1,1,3,1,2.0,0
Angelino-Heights,1125 E 76th Pl,0,1,430000.0,2.0,1.0,648.0,4356.0,1925.0,0,1,1,0,1.0,0
Angelino-Heights,1127 Sonora Ave,0,1,1100000.0,4.0,2.0,1852.0,9148.0,1922.0,0,1,1,0,3.0,0
Angelino-Heights,5918 Monte Vista St,0,1,1050000.0,3.0,2.0,1624.0,6970.0,1922.0,0,0,1,0,0.0,0
Angelino-Heights,3309 Drew St,0,1,759500.0,3.0,3.0,1268.0,5663.0,1931.0,1,0,1,0,1.0,0
Angelino-Heights,996 W Riverside Dr Unit 20,1,0,880000.0,3.0,3.0,1734.0,1734.0,1980.0,1,1,2,1,2.0,0
Angelino-Heights,4336 La Clede Ave,0,1,875000.0,2.0,1.0,994.0,7405.0,1924.0,1,1,1,1,1.0,0
Angelino-Heights,130 S Hewitt St Unit 27,1,0,810000.0,1.0,1.0,1146.0,1146.0,1936.0,1,0,2,0,1.0,0
Angelino-Heights,5128 2nd Ave,0,1,525000.0,2.0,1.0,884.0,4792.0,1913.0,0,1,1,0,0.0,0
Angelino-Heights,1025 N Avenue 54,0,1,1435000.0,3.0,2.0,1150.0,3920.0,1912.0,0,1,1,0,1.0,0
Angelino-Heights,1060 S Bronson Ave Unit 2,1,0,975000.0,3.0,3.0,1517.0,1517.0,2021.0,1,0,3,1,2.0,0
Angelino-Heights,6001 Ferguson Dr,0,1,630000.0,4.0,2.0,1446.0,4792.0,1940.0,1,0,1,0,7.0,0
Angelino-Heights,3667 Willowcrest Ave,0,1,1760000.0,3.0,3.0,2216.0,7405.0,1956.0,1,1,1,1,2.0,1
Angelino-Heights,121 Sinclair Ave Unit 234,1,0,568000.0,2.0,2.0,956.0,956.0,1973.0,1,0,2,1,2.0,0
Angelino-Heights,731 E 51st St,0,1,1060000.0,6.0,4.0,2977.0,7405.0,1926.0,0,1,2,0,2.0,0
Angelino-Heights,4027 Hammel St,0,1,672000.0,4.0,2.0,1638.0,6970.0,1909.0,0,0,1,0,2.0,0
Angelino-Heights,1018 Magnolia St Unit I,1,0,750000.0,2.0,2.0,865.0,865.0,1989.0,0,0,1,0,2.0,0
Angelino-Heights,360 S Kenmore Ave Unit 203,1,0,450000.0,1.0,1.0,751.0,751.0,1965.0,1,0,1,0,1.0,0
Angelino-Heights,601 Westover Pl,0,1,3965000.0,6.0,7.0,4835.0,17859.6,1949.0,0,1,2,1,6.0,1
Angelino-Heights,920 N Ford St,0,1,1450000.0,3.0,4.0,2289.0,4792.0,1937.0,1,1,2,0,10.0,1
Angelino-Heights,3740 Santa Rosalia Dr Unit 105,1,0,585000.0,2.0,2.0,1020.0,1020.0,2007.0,1,0,1,1,2.0,0
Angelino-Heights,524 W 75th St,0,1,685000.0,3.0,2.0,938.0,6970.0,1921.0,0,0,1,0,1.0,0
Angelino-Heights,2432 Walnut St,0,1,590000.0,2.0,1.0,1010.0,5663.0,1923.0,0,0,1,0,5.0,0
Angelino-Heights,100 S Orange Grove Blvd Unit 304,1,0,2800000.0,3.0,4.0,3056.0,3056.0,2016.0,1,1,1,0,4.0,1
Angelino-Heights,484 E California Blvd Unit 29,1,0,800000.0,2.0,3.0,1506.0,1506.0,1983.0,1,0,3,0,2.0,1
Angelino-Heights,5415 Strohm Ave,0,1,1475000.0,4.0,3.0,2646.0,6098.0,2005.0,1,1,2,0,3.0,0
Angelino-Heights,900 N Avon St,0,1,1330000.0,3.0,2.0,1498.0,6534.0,1941.0,1,1,1,0,2.0,0
Angelino-Heights,4127 Zaring St,0,1,593000.0,2.0,2.0,750.0,3485.0,1924.0,1,0,1,0,0.0,0
Angelino-Heights,645 W 9th St Unit 329,1,0,385000.0,1.0,1.0,697.0,697.0,2006.0,1,0,1,1,1.0,0
Angelino-Heights,1724 S Marguerita Ave,0,1,1045000.0,3.0,3.0,1576.0,6098.0,1940.0,0,1,1,0,2.0,0
Angelino-Heights,776 S Orange Grove Blvd Unit 12,1,0,1105000.0,2.0,3.0,2083.0,2083.0,1982.0,0,1,3,0,2.0,1
Angelino-Heights,6951 E Gage Ave,1,0,510000.0,2.0,3.0,1101.0,1101.0,1985.0,1,1,2,1,2.0,0
Angelino-Heights,1002 W Riverside Dr Unit 29,1,0,850000.0,3.0,3.0,1635.0,1635.0,1980.0,0,1,2,1,2.0,1
Angelino-Heights,1755 N Berendo St Unit 29,1,0,718000.0,2.0,1.0,1170.0,1170.0,1962.0,1,0,1,0,0.0,0
Angelino-Heights,3925 E 2nd St,0,1,600000.0,3.0,2.0,936.0,6098.0,1922.0,1,0,1,0,0.0,0
Angelino-Heights,1438 W 37th Dr,0,1,930000.0,3.0,1.0,1316.0,5663.0,1910.0,1,1,1,0,0.0,0
Angelino-Heights,273 E Glenarm St Unit 5,1,0,800000.0,2.0,2.0,1044.0,1044.0,1983.0,0,1,2,1,2.0,0
Angelino-Heights,4515 Gateside Dr,0,1,1025000.0,3.0,2.0,1415.0,8276.0,1942.0,1,1,1,1,2.0,0
Angelino-Heights,4044 Folsom St,0,1,700000.0,4.0,2.0,1400.0,2614.0,1924.0,1,0,2,0,1.0,0
Angelino-Heights,3439 Primera Ave,0,1,1475000.0,3.0,2.0,2168.0,5663.0,1941.0,1,1,2,1,3.0,0
Angelino-Heights,887 La Loma Rd,0,1,6700000.0,4.0,7.0,7842.0,70131.6,1995.0,1,1,3,1,4.0,1
Angelino-Heights,5344 Highlight Pl,0,1,1400000.0,3.0,2.0,1312.0,6098.0,1950.0,0,1,1,0,2.0,0
Angelino-Heights,39 S Los Robles Ave Unit 3013,1,0,955000.0,1.0,1.0,1070.0,1070.0,2022.0,1,0,1,1,1.0,0
Angelino-Heights,2838 Chadwick Cir,0,1,520000.0,1.0,1.0,508.0,4792.0,1954.0,1,0,1,0,1.0,0
Angelino-Heights,5316 6th Ave,0,1,844560.0,2.0,2.0,1292.0,5227.0,1912.0,0,1,1,0,2.0,0
Angelino-Heights,1843 Deloz Ave,0,1,2275000.0,4.0,4.0,2237.0,3920.0,1965.0,1,1,1,1,2.0,0
Angelino-Heights,360 W Avenue 26 Unit 416,1,0,725800.0,4.0,2.0,1500.0,1500.0,2006.0,1,0,1,0,2.0,0
Angelino-Heights,517 S Mariposa St,0,1,1335000.0,2.0,2.0,1066.0,6534.0,1939.0,1,1,1,0,2.0,0
Angelino-Heights,1818 W 64th St,0,1,730000.0,3.0,2.0,1197.0,4356.0,1925.0,0,0,1,0,5.0,0
Angelino-Heights,1429 Valley View Rd Unit 6,1,0,660000.0,2.0,3.0,1340.0,1340.0,1973.0,1,1,2,0,2.0,0
Angelino-Heights,5779 Omaha St,0,1,769000.0,2.0,2.0,864.0,3485.0,1910.0,1,0,1,0,2.0,0
Angelino-Heights,1008 S Marengo Ave Unit C,1,0,781785.0,3.0,3.0,1650.0,1650.0,2008.0,0,0,2,1,2.0,0
Angelino-Heights,330 W 11th St Unit 407,1,0,671000.0,2.0,2.0,1090.0,1090.0,1923.0,1,0,1,0,2.0,0
Angelino-Heights,3113 Oakcrest Dr,0,1,2313000.0,4.0,3.0,2844.0,6534.0,1926.0,1,1,2,1,2.0,0
Angelino-Heights,1824 E 66th St,0,1,650000.0,9.0,4.0,2400.0,6098.0,1923.0,0,0,1,0,6.0,0
Angelino-Heights,106 N Evergreen St,0,1,1735000.0,2.0,2.0,1574.0,9583.0,1938.0,0,1,1,0,0.0,1
Angelino-Heights,1437 W 54th St,0,1,650000.0,3.0,2.0,996.0,5227.0,1914.0,0,1,1,0,4.0,0
Angelino-Heights,1328 N Columbus Ave Unit 3,1,0,825000.0,3.0,3.0,1516.0,1516.0,1991.0,1,1,3,1,2.0,0
Angelino-Heights,4041 Via Marisol Unit 110,1,0,670000.0,2.0,2.0,1096.0,1096.0,1982.0,1,0,1,0,2.0,1
Angelino-Heights,6140 Monterey Rd Unit 206,1,0,596000.0,2.0,2.0,1003.0,1003.0,1989.0,0,1,1,0,2.0,1
Angelino-Heights,1143 W 25th St,0,1,1250000.0,4.0,4.0,3744.0,5663.0,1924.0,1,0,2,0,5.0,0
Angelino-Heights,840 E Green St Unit 317,1,0,975000.0,2.0,2.0,1485.0,1485.0,2006.0,0,0,1,0,2.0,0
Angelino-Heights,500 Evergreen St Unit 305,1,0,440000.0,2.0,2.0,906.0,906.0,1965.0,0,0,1,1,1.0,0
Angelino-Heights,7039 Denver Ave,0,1,630000.0,3.0,2.0,1538.0,5227.0,1980.0,0,0,1,1,2.0,0
Angelino-Heights,6500 California Ave,0,1,485000.0,3.0,3.0,1400.0,6098.0,1908.0,1,0,1,0,2.0,0
Angelino-Heights,1435 Exposition Blvd,0,1,745000.0,4.0,3.0,2196.0,3049.0,1964.0,1,1,2,1,2.0,0
Angelino-Heights,4729 Catalpa St,0,1,520000.0,2.0,1.0,840.0,6534.0,1942.0,1,0,2,1,1.0,0
